BN,CO,PARA,LN,POSITION OR DUTY TITLE,GR,POSCO,BR,ID,AMSCO,SWC,MDEP,REQ,AUTH,R1 R2 R3

,,550,0,15TH SIG BDE,,W0,,,,,,,,
0,7,550,1,COMMANDER,O6,25A00,SC,K,32173100,BAH,TFNC,1,1,36
0,7,550,2,XO,O5,25A00,SC,K,32173100,BAH,TATC,1,1,
0,7,550,3,CSM,E9,00Z5O,NC,I,32173100,BAH,TFNC,1,1,
0,7,550,4,SECY STENO,6,318,GS,C,32173100,BAH,TFNC,1,1,ZR
0,7,550,6,DEAN,14,1750,GS,C,32173100,UMB,TFNC,1,1,CT
0,7,550,7,SECY STENO OA,6,318,GS,C,32173100,UMB,TATC,1,1,ZR

,,,,,,,550,TO,,,,6,6,

,,550A,0,S1 ADJUTANT,,W0,,,,,,,,
0,7,550A,1,BDE CHAPLAIN,O4,56A00,CH,K,32477100,BZD,QNMG,1,1,
0,7,550A,2,EQUAL OPP ADV,E7,31W4Q,NC,I,32173100,PUU,TFNC,1,1,
0,7,550A,3,SR PERS SVC SGT,E7,75H4O,NC,I,32173100,PUU,TFNC,1,1,ZR
0,7,550A,4,LEGAL NCO,E6,27D3O,NC,I,32173100,PUU,TFNC,1,1,
0,7,550A,5,PERS ADMIN SGT,E6,75H3O,NC,I,32173100,PUU,TFNC,1,1,ZR
0,7,550A,6,ADMIN SUPV,E6,71L3O,NC,I,32173100,PUU,TFNC,2,1,ZR
0,7,550A,7,ADMIN SGT,E5,71L2O,NC,I,32173100,PUU,TFNC,1,1,ZR
0,7,550A,8,CHAP ASST NCO,E6,56M3O,NC,I,32477100,BZD,QNMG,1,1,
0,7,550A,9,ADMIN SP,E4,71L1O,,I,32173100,PUU,TFNC,2,1,ZR
0,7,550A,10,PERS ADMIN SP,E4,75B1O,,I,32173100,PUU,TFNC,2,2,ZR
0,7,550A,11,ADMIN CLK,E3,71L1O,,I,32173100,PUU,TFNC,2,2,ZR
0,7,550A,12,LEAD MAIL CLERK,4,305,GS,C,32173100,PUU,TFNC,1,1,ZR
0,7,550A,13,MAIL CLERK,3,305,GS,C,32173100,PUU,TFNC,3,1,ZR
0,7,550A,14,ADMIN SGT,E6,71L3O,NC,I,32173100,ADI,TFNC,1,0,ZR
0,7,550A,16,ADMIN SP,E4,71L1O,,I,32173100,ADI,TATC,1,0,ZR

,,,,,,,0A T,OTA,,,,21,15,

,,550B,0,S2 S3,,W0,,,,,,,,
0,7,550B,1,S2 S3,O4,25A00,SC,K,32173100,YZZ,TATC,1,1,
0,7,550B,2,ASST S2 S3,O3,25A00,SC,K,32173100,YZZ,TATC,1,0,
0,7,550B,3,OPNS SGT,E9,31Z5O,NC,I,32173100,YZZ,TFNC,1,1,
0,7,550B,4,TNG SGT,E7,31W4O,NC,I,32173100,YZZ,TFNC,1,1,
0,7,550B,6,TNG SGT,E6,31U3O,NC,I,32173100,YZZ,TFNC,4,1,
0,7,550B,8,PERSONNEL SP,4,303,GS,C,32173100,YZZ,TFNC,2,1,ZR
0,7,550B,9,SECY STENO,4,318,GS,C,32173100,YZZ,TFNC,2,1,ZR

,,,,,,,0B T,OTA,,,,12,6,

,,550C,0,S4,,W0,,,,,,,,
0,7,550C,1,S4,O3,92A00,QM,K,32173100,MCZ,TFNC,1,0,ZR
0,7,550C,1,A S4,O3,92A00,QM,K,32173100,MCZ,TATC,0,1,ZR
0,7,550C,2,SR SUPPLY SGT,E8,92Y5O,NC,I,32173100,MCZ,TFNC,1,1,ZR
0,7,550C,3,SUPPLY SGT,E7,92Y4O,NC,I,32173100,MCZ,TFNC,1,1,ZR
0,7,550C,4,SUPPLY SGT,E5,92Y2O,NC,I,32173100,MCZ,TFNC,1,1,
0,7,550C,6,SUP SP ARMORER,E4,92Y1O,,I,32173100,MCZ,TFNC,2,1,ZR
0,7,550C,7,SUPPLY SP,E3,92Y1O,,I,32173100,MCZ,TFNC,1,1,ZR

,,,,,,,0C T,OTA,,,,7,6,

,,550D,0,HHC-15TH SIG BDE,,W0,,,,,,,,
0,7,550D,1,COMMANDER,O4,25A00,SC,K,32173100,BAH,TATC,1,0,XH YW
0,7,550D,1,A COMMANDER,O3,25A00,SC,K,32173100,BAC,TATC,0,1,XH YW
0,7,550D,2,FIRST SGT,E8,31W5M,NC,I,32173100,UMC,TFNC,1,1,
0,7,550D,3,OPNS SGT,E6,31R3O,NC,I,32173100,BAH,TFNC,1,1,
0,7,550D,4,OPNS SGT,E5,31R2O,NC,I,32173100,BAH,TFNC,2,1,
0,7,550D,5,OPNS SGT,E5,31R2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,0D T,OTA,,,,6,5,

0,7,550E,0,S3 TRNG DIV,,W0,,,,,,,,
0,7,550E,1,SUPV TNG SP,12,1750,GS,C,32173100,UMC,TFNC,1,1,CT
0,7,550E,3,OFC AUTO CLERK,4,326,GS,C,32173100,ADI,TATC,1,0,ZR
0,7,550E,5,SR TNG MGT NCO,E7,31U4O,NC,I,32173100,UMD,TATC,1,1,TL
0,7,550E,6,ADMIN SUPV,E7,71L4O,NC,I,32173100,ADI,TATC,1,0,ZR
0,7,550E,7,SR TNG MGT NCO,E7,31W4O,NC,I,32173100,UMC,TATC,1,1,
0,7,550E,10,TNG MGT NCO,E6,31F3O,NC,I,32173100,UMD,TATC,2,0,TL
0,7,550E,11,CRS MGT NCO,E6,31S3O,NC,I,32173100,UMC,TATC,1,0,
0,7,550E,12,TNG OPS SGT,E6,31U3O,NC,I,32173100,UMB,TATC,1,0,TL
0,7,550E,13,TNG MGT NCO,E6,31U3O,NC,I,32173100,UMC,TATC,1,1,
0,7,550E,18,TNG SP,11,1712,GS,C,32173100,UKC,TATC,5,2,XV
0,7,550E,20,INSTR SYS SP,11,1750,GS,C,32173100,UKC,TATC,1,1,XV
0,7,550E,21,TNG TECH,5,1702,GS,C,32173100,ADI,TATC,1,0,ZR YU
0,7,550E,22,ADMIN CLERK,E3,71L1O,,I,32173100,ADI,TATC,2,0,XG ZR

,,,,,,,0E T,OTA,,,,19,7,

,,550F,0,COMSEC BRANCH,,W0,,,,,,,,
0,7,550F,1,COMSEC CUSTODIAN,E7,74C4O,NC,I,32173100,IKA,TATC,1,1,
0,7,550F,2,COMSEC MATL MGR,E6,74C3O,NC,I,32173100,IKA,TATC,1,1,
